sentence,episode,matched_name,cleaned_sentence
but why would you wait for someone out here? who were you waiting for?!,575,nami,wait wait
"lily-chan, what's wrong?!",575,sanji,lilychan wrong
calm down!  the balance between your head and your body is all messed up!,575,tony tony chopper,calm balance head body mess
"w-wait, you're searching for your dad?!",575,usopp,wwait search dad
what kind of dad is he?!,575,franky,kind dad
"pirate chef?  lily-chan, what's your dad's name?",575,sanji,pirate chef lilychan dad
i've heard of him!,575,sanji,hear
is he really that famous?,575,monkey d. luffy,really famous
volcano cooking? what's that?  is it tasty?,575,monkey d. luffy,volcano cook tasty
sounds delicious!,575,monkey d. luffy,sound delicious
is what?!,575,monkey d. luffy,
i wanna eat it!  i wanna go to heaven!,575,monkey d. luffy,wan eat wan heaven
you were the one who started it.,575,roronoa zoro,start
"i've also heard rumors about panz fry. he's a pirate who steals food from the government, the navy and other pirates... and gives it to starving people, bringing them great joy.",575,nico robin,hear rumor panz fry pirate steal food government navy pirate starve people bring great joy
so he's...,575,monkey d. luffy,
whatever.  just explain.,575,nami,explain
impel down?!,575,monkey d. luffy,impel
why would they take him there?!  isn't he a hero?!,575,tony tony chopper,hero
he's worth over 300 million?!  seriously?!,575,usopp,worth 300 million seriously
what a kindhearted soul! she cares so much for her dad!,575,franky,kindhearted soul care dad
"but still, impel down of all places?",575,roronoa zoro,impel place
that place is rough.  i almost died there!,575,monkey d. luffy,place rough die
what about your dad?!,575,franky,dad
"meaning, the navy is headed this way?!",575,brook,meaning navy head way
"if we bump into them, we'll be in serious trouble!",575,usopp,bump trouble
lily-chan.,575,sanji,lilychan
lily. about that... let me help you! i want to try that heaven food that only your dad can make!,575,monkey d. luffy,lily help want try heaven food dad make
"plus, your dad's a hero!",575,usopp,plus dad hero
i wanna meet the hero too!,575,tony tony chopper,wan meet hero
"that's how it is.  don't worry about it, lily-chan.",575,sanji,worry lilychan
there's no getting around it.,575,nami,
"if i didn't help you with this, i'd be disgracing the name of perverts!",575,franky,help disgrace pervert
so we'll be facing the navy immediately after entering the new world? this is getting exciting!,575,roronoa zoro,face navy immediately enter new world excite
this must be some sort of destiny.,575,nico robin,sort destiny
"sure, leave it to us!",575,monkey d. luffy,sure leave
"once we get him back, let me eat plenty of that heavenly volcano cooking!",575,monkey d. luffy,eat plenty heavenly volcano cooking
"yes, sir!",575,marine,yes sir
"hey, what's the weather doing now?!",575,usopp,hey weather
more mirages?,575,roronoa zoro,mirage
it's probably just mist.,575,nami,probably mist
this really cuts down our visibility.,575,brook,really cut visibility
it might be hard to spot your dad now.,575,franky,hard spot dad
"hey, lily, look at that! it's the navy!",575,monkey d. luffy,hey lily look navy
cien fleur clutch,576,nico robin,cien fleur clutch
gomu gomu no fuusen,576,monkey d. luffy,gomu gomu fuusen
"meaning, the navy is headed here?!",576,brook,meaning navy head
"if we end up bumping into them, we'll be in serious trouble!",576,usopp,end bump trouble
let me help you! i'd like to try that heaven-food that only your dad can make!,576,monkey d. luffy,help like try heavenfood dad make
it's the navy!,576,monkey d. luffy,navy
"him, huh?",576,monkey d. luffy,huh
they brought four warships just to transport a single pirate? your dad must be one hell of a big shot.,576,franky,bring warship transport single pirate dad hell big shot
"but is that the only reason? this level of security is unusual, but what's even more unusual is that they choose this dangerous route to impel down.",576,nico robin,reason level security unusual unusual choose dangerous route impel
right!  then let's charge in!,576,monkey d. luffy,charge
"why would we do that?!  don't be ridiculous! listen up! freeing lily's father is our main objective this time. if we just charge in blindly, lily's father might get hurt too!",576,nami,ridiculous listen free lily father main objective time charge blindly lily father hurt
"that's right, luffy!  if anything happens to her father, we won't get any of the heavenly volcano cooking!",576,usopp,luffy happen father heavenly volcano cooking
then what should we do?,576,monkey d. luffy,
will you let me handle the plan to break him out? well?,576,nami,handle plan break
"mm! that settles it!  first off, we'll have a group that acts as a diversion. you'll take the mini merry, distract the enemy from a distance... and act as backup for the infiltration group. the driver for this group will be chopper. luffy, robin and brook will go with him.",576,nami,settle group act diversion mini merry distract enemy distance act backup infiltration group driver group chopper luffy robin brook
"a diversion?!  so, can i kick their asses?",576,monkey d. luffy,diversion kick ass
"no! robin and brook will be the ones actually diverting the navy's attention. if things don't go as planned then you're just our very, very, very last backup. until then, you won't be taking part in the attack! ",576,nami,robin brook actually divert navy attention thing plan backup attack
booo!,576,monkey d. luffy,booo
"next up, the infiltration group. you will use the shark submerge to get onto the raft without the navy noticing you. your job is to cut the chains and free lily's father. for this job... zoro, sanji-kun...",576,nami,infiltration group use shark submerge raft navy noticing job cut chain free lily father job zoro sanjikun
leave it to me!,576,sanji,leave
"...usopp, and lily. i'll be counting on you.",576,nami,usopp lily count
their group sounds like more fun.,576,monkey d. luffy,group sound like fun
"remember what our primary goal is, how do we free her giant father safely?",576,nami,remember primary goal free giant father safely
"yeah, he's really big so he'll be easy to spot.",576,usopp,yeah really big easy spot
"i'd like to steal a warship, but it would require too much time and effort. the best option seems to be cutting his chains, then using the coup de burst to get him out of here. franky, you stay on the sunny and keep it out of sight. and don't forget to keep the coup de burst ready.",576,nami,like steal warship require time effort best option cut chain use coup burst franky stay sunny sight forget coup burst ready
got it!,576,franky,
"so, what about you, nami?",576,usopp,nami
"me? i'll keep an eye on the enemy using the white rocking horse, and i'll be giving orders during the operation. and i want you all to remember that we're in the waters of mobedumule. watch out for sudden weather changes. alright, commence the operation!",576,nami,eye enemy use white rocking horse order operation want remember water mobedumule watch sudden weather change alright commence operation
"come to think of it, everyone in this group has devil fruit powers.",576,nico robin,come think group devil fruit power
you're right!,576,brook,
"if we fall into the ocean, we're dead. i hope we don't drown and get ripped to shreds by sharks.",576,nico robin,fall ocean dead hope drown rip shred shark
"robin, you're scary!",576,tony tony chopper,robin scary
since this rescue operation is taking place on the open sea... i decided to play it safe and keep all the devil fruit users except lily in the diversion group! see ya later! huh?  what about luffy? i'm sure i told him to get on the mini merry.,576,nami,rescue operation place open sea decide play safe devil fruit user lily diversion group later huh luffy sure tell mini merry
he got on the shark submerge earlier.,576,nico robin,shark submerge earlier
what?,576,nami,
"well... he said the diversion group sounded boring, so he forced us to take him along.",576,usopp,say diversion group sound boring force
huh?!,576,nami,huh
"lily, i'm looking forward to meeting your dad!",576,monkey d. luffy,lily look forward meet dad
"how selfish can he get?! hey luffy, are you listening?! you absolutely can't go onto the raft! you'll ruin the whole rescue operation!",576,nami,selfish hey luffy listen absolutely raft ruin rescue operation
gotcha!,576,monkey d. luffy,gotcha
"by the way lily, are you and your dad from elbaf?",576,usopp,way lily dad elbaf
"of course i know about it! the brave warriors of the sea dorry and broggy, are good friends of ours!",576,usopp,course know brave warrior sea dorry broggy good friend
we sure have!,576,monkey d. luffy,sure
really?!,576,monkey d. luffy,really
sounds like things are pretty lively down there.,576,nico robin,sound like thing pretty lively
we can't let them outshine us!  let's have fun here too!,576,brook,outshine fun
yay!,576,tony tony chopper,yay
"title: let's go to the rescue! go, go, let's go!  come on, heading for the unpleasant seas!",576,brook,title rescue come head unpleasant sea
be quiet!,576,nami,quiet
"she got mad at us, brook!",576,tony tony chopper,mad brook
sorry!  sorry!,576,brook,sorry sorry
"yes, sir!",576,marine,yes sir
is everyone ready?,576,nami,ready
ready when you are.,576,nico robin,ready
we're in position and good to go!,576,usopp,position good
don't thank us now.  we haven't gotten him back yet. ,576,roronoa zoro,thank
he's right. ,576,monkey d. luffy,
"okay, here we go!",576,nami,okay
roger that!,576,nico robin,roger
i shall assist you.,576,brook,shall assist
w-what's happening?! th-there's a ghost!,576,marine,wwhat happen ththere ghost
i am no ghost! i am a soul!,576,brook,ghost soul
now!  begin the infiltration!,576,nami,begin infiltration
roger! go!,576,usopp,roger
"sanji-san, nicely done!",576,brook,sanjisan nicely
good.  phase one is a success!,576,nami,good phase success
i can't see your face like this.,576,monkey d. luffy,face like
it's straw hat luffy!,576,marine,straw hat luffy
"heya, old frypan!",576,monkey d. luffy,heya old frypan
"hey, luffy.  i've cut the chains.",576,roronoa zoro,hey luffy cut chain
"the pirate hunter, zoro! straw hat isn't alone!  and that's... who is that?",576,marine,pirate hunter zoro straw hat
i'm sanji!  sanji from the straw hat pirates!,576,sanji,sanji sanji straw hat pirate
where did they come from?!,576,marine,come
"now he's done it... but i thought this might happen since luffy boarded the shark submerge. franky, get over here quickly!  change of plans! we'll give up on taking the raft, just tie her father to the ship and take off!",576,nami,think happen luffy board shark submerge franky quickly change plan raft tie father ship
roger!,576,franky,roger
"lily, go!",576,monkey d. luffy,lily
that was close!,576,monkey d. luffy,close
"a vice-admiral, huh?",576,roronoa zoro,viceadmiral huh
"yeah, he's pretty strong.",576,monkey d. luffy,yeah pretty strong
is that so?,576,roronoa zoro,
i guess there's no way to avoid a direct fight now.,576,sanji,guess way avoid direct fight
you gotta be kidding me!  what is it now?!,576,nami,kid
are you alright?!,576,monkey d. luffy,alright
damage report!,576,marine,damage report
"the hull's been breached, we're taking on water! where is the enemy ship?! we haven't been able to pinpoint their location! try to estimate their position from the direction of their torpedoes.  and then bombard that area! yes, sir!",576,marine,hull breach water enemy ship able pinpoint location try estimate position direction torpedo bombard area yes sir
"hey, pops!  hang in there!",576,monkey d. luffy,hey pop hang
more cannon fire?,576,monkey d. luffy,cannon
a human?!,576,monkey d. luffy,human
damn it!,576,roronoa zoro,damn
usopp!  luffy fell into the sea!,576,nami,usopp luffy fell sea
what?!  i got it!,576,usopp,
"you can't tell him that, shuzo-san!",576,marine,tell shuzosan
lily-chan! what are luffy and that idiot swordsman doing?!,576,sanji,lilychan luffy idiot swordsman
lily-chan!,576,sanji,lilychan
to think that you'd harm a lady... you're a damn despicable bastard! you...,576,sanji,think harm lady damn despicable bastard
"shuzo-san, he's probably... black leg sanji from the straw hat pirates! he looks different from his wanted poster... maybe he changed his face?",576,marine,shuzosan probably black leg sanji straw hat pirate look different wanted poster maybe change face
i did not!,576,sanji,
seventy-seven million!,576,marine,seventyseven million
what did you just call me?!,576,sanji,
this is awful!,576,brook,awful
"not good!  lily-chan, you have to shrink for now!",576,sanji,good lilychan shrink
"i see... for a marine, you're pretty reasonable!",576,sanji,marine pretty reasonable
pirates?  the navy? quit your yapping!,576,monkey d. luffy,pirate navy quit yapping
i won't let anyone take pops's heavenly food!,576,monkey d. luffy,pop heavenly food
that one has a 400 million beli bounty! it's the pirate straw hat luffy!,576,marine,400 million beli bounty pirate straw hat luffy
gomu gomu no fuusen,577,monkey d. luffy,gomu gomu fuusen
gear second gomu gomu no jet gatling,577,monkey d. luffy,gear second gomu gomu jet gatling
party-table kick-course,577,sanji,partytable kickcourse
treinta fleur strangle,577,nico robin,treinta fleur strangle
gomu gomu no busoushoku kouka gomu gomu no,577,monkey d. luffy,gomu gomu busoushoku kouka gomu gomu
jet bazooka,577,monkey d. luffy,jet bazooka
ittouryuu sanbyaku rokujuu pondo hou,577,roronoa zoro,ittouryuu sanbyaku rokujuu pondo hou
chicken voyage coup de burst,577,franky,chicken voyage coup burst
what is with this weather?! ,577,tony tony chopper,weather
these are the waters of mobedumule!,577,nami,water mobedumule
momemomejuban?,577,monkey d. luffy,momemomejuban
"mobedumule! or as they're also called, the temperamental waters. weather phenomenons unlike anything anyone has ever seen or heard... come one after another, as if by the ocean's whim!",577,nami,mobedumule temperamental water weather phenomenon unlike hear come ocean whim
lily. let me help you! i want to try that heaven food that only your dad can make!,577,monkey d. luffy,lily help want try heaven food dad make
"yes, sir!",577,marine,yes sir
more cannon fire?,577,monkey d. luffy,cannon
a human?!,577,monkey d. luffy,human
damn it!,577,roronoa zoro,damn
i won't let anyone take pops's heavenly food!,577,monkey d. luffy,pop heavenly food
board their ships!,577,marine,board ship
not gonna happen!,577,marine,happen
kill the pirates!,577,marine,kill pirate
yeah.,577,roronoa zoro,yeah
leave this to me!,577,monkey d. luffy,leave
i'm a rubber man!,577,monkey d. luffy,rubber man
is that so?,577,monkey d. luffy,
sorry to have kept you waiting. how about continuing our fight?! ,577,roronoa zoro,sorry wait continue fight
go!  kill the pirates! take aim!,577,marine,kill pirate aim
i can't cover such a large target! ,577,sanji,cover large target
robin-chan?!,577,sanji,robinchan
just... who... are they? ,577,nico robin,
"this is not good!  it's total chaos over there! hey, nami!",577,usopp,good total chaos hey nami
i know! i'm trying to figure out the best course of action to save lily's dad! no way! is that... the thrust-up stream?!,577,nami,know try figure best course action save lily dad way thrustup stream
bastard!,577,monkey d. luffy,bastard
"i can't believe that both luffy-san and zoro-san are unable to go on the offense!  clearly, those two must not be taken lightly!",577,brook,believe luffysan zorosan unable offense clearly lightly
"take this, monster!",577,marine,monster
"hey, you! i may be a soul without a physical form, but getting shot still isn't exactly pleasant! ",577,brook,hey soul physical form shot exactly pleasant
"there's no doubt about it. jeez, why'd it come now! ",577,nami,doubt jeez come
sorry for the delay! nami!,577,franky,sorry delay nami
"franky, this is an emergency! there's about to be a huge weather shift!  we're in danger too!",577,nami,franky emergency huge weather shift danger
what?!,577,franky,
"everyone, listen up!  the thrust-up stream is about to hit! ",577,nami,listen thrustup stream hit
thrust-up...,577,tony tony chopper,thrustup
stream?,577,nico robin,stream
what's that?  is it... something like the knock-up stream we took to sky island?,577,usopp,like knockup stream sky island
"that's right, but it's not as big as that one was.",577,nami,big
"but still, it's more than enough to blow a warship to smithereens!",577,nami,blow warship smithereens
the biggest problem is that several will appear over a wide area!  so get back to the sunny as soon as possible!,577,nami,big problem appear wide area sunny soon possible
"franky, the anchors!",577,nami,franky anchor
roger that!,577,franky,roger
"sanji-kun, lily!",577,nami,sanjikun lily
nami-san! were you so worried about me that you...,577,sanji,namisan worry
it's about to get dangerous here!  an upward current like the knock-up stream is coming! ,577,nami,dangerous upward current like knockup stream come
what?!,577,sanji,
are the anchors firmly attached to the raft?,577,nami,anchor firmly attach raft
yeah!,577,sanji,yeah
"then we're getting out of here with the sunny, right now!",577,nami,sunny
"luffy!  idiot swordsman! we're getting out of here with lily's dad, using the coup de burst!",577,sanji,luffy idiot swordsman lily dad use coup burst
a-alright!,577,monkey d. luffy,aalright
usopp!,577,nami,usopp
luffy and the others are...,577,usopp,luffy
don't get in our way!,577,monkey d. luffy,way
t-t-that was so scary!,577,usopp,ttthat scary
hey!  super-welcome back!,577,franky,hey superwelcome
usopp!,577,tony tony chopper,usopp
"franky, hurry and use the coup de burst!",577,nami,franky hurry use coup burst
i'm afraid that won't work!,577,franky,afraid work
what?!  why?!,577,nami,
"now that we're closer to it, i can see that the raft is way too big.",577,franky,close raft way big
huh?! what to do now?!   what should we do? i know! that could work! ,577,nami,huh know work
that's the only option we have left!,577,nami,option leave
"but, do you really think it'll lift us up so conven-",577,usopp,really think lift conven
"shut up! sanji-kun, are the anchors still in place?",577,nami,shut sanjikun anchor place
"then hold on tight! we're flying away, raft and all!",577,nami,hold tight fly away raft
damn it! if it had just popped up a little away from where it did... ,577,usopp,damn pop little away
"no, here comes another one!",577,nami,come
"nami, now?",577,franky,nami
"hold it... hold... hold... now, franky!",577,nami,hold hold hold franky
luffy!,577,sanji,luffy
the rescue mission was a complete success! ,577,nami,rescue mission complete success
now i'll get to eat the heaven food!,577,monkey d. luffy,eat heaven food
"umm, don't forget me!",577,brook,umm forget
"what an insane fight. they've been going at it for five hours now! are they evenly matched? no, shuzo-san has the upper hand.",577,marine,insane fight hour evenly match shuzosan upper hand
it looks like we made it out of mobedumule. there's no trace of that weather we were experiencing! we should be safe here.,577,nami,look like make mobedumule trace weather experience safe
"we traveled pretty far, after all. i can't see any ships chasing us either!",577,usopp,travel pretty far ship chase
of course!  that was a full-power coup de burst! even the speediest vessel couldn't keep up with us!,577,franky,course fullpower coup burst speedy vessel
and these reefs are the perfect spot to hide. it seems that we can finally catch our breath.,577,nico robin,reef perfect spot hide finally catch breath
yeah. how are things over there?,577,nami,yeah thing
"it was a pretty serious wound, but he should be alright after two to three days of rest.",577,tony tony chopper,pretty wound alright day rest
"grateful... even if you say that,  i won't be happy at all, you jerk!",577,tony tony chopper,grateful say happy jerk
"well, whatever the case, i'm glad you're safe! so, make some of that heaven food!  right now!",577,monkey d. luffy,case glad safe make heaven food
"what are you, a devil?!",577,sanji,devil
what?  chopper said he was alr-,577,monkey d. luffy,chopper say alr
"weren't you listening to me, luffy?! i said he had to take it easy!",577,tony tony chopper,listen luffy say easy
huh?  then what about the heaven food?,577,monkey d. luffy,huh heaven food
sheesh!  even if lily-chan's dad was alright... what about the damn ingredients?! the ingredients for this heaven food?!,577,sanji,sheesh lilychan dad alright damn ingredient ingredient heaven food
"where?  lily, where are they?!",577,monkey d. luffy,lily
it's true!  when did she...,577,brook,true
well done!,577,monkey d. luffy,
you were thinking about food in that chaos?  just how gluttonous are you?!  ,577,roronoa zoro,think food chaos gluttonous
well done!,577,roronoa zoro,
hey!,577,tony tony chopper,hey
"but even if we have the ingredients, old frypan can't cook them now, right?",577,monkey d. luffy,ingredient old frypan cook
"instead, i'll do-",577,sanji,instead
what are you doing?!  i said you can't yet move around! ,577,tony tony chopper,say
yeah!  i'm the man who's gonna be the pirate king!,577,monkey d. luffy,yeah man pirate king
"seriously?!  thanks, old frypan!",577,monkey d. luffy,seriously thanks old frypan
"lily-chan, i'll make something too!",577,sanji,lilychan make
"alright, i'll help! i'll bring the ingredients!",577,monkey d. luffy,alright help bring ingredient
as will i!,577,brook,
gimme the booze!,577,roronoa zoro,gim booze
"shuzo-san, the target has been spotted! they're hiding in the reef!",577,marine,shuzosan target spot hide reef
"i-i'm sorry to say, but... we used up all our torpedoes in the earlier fight, and we're running low on cannonballs too.",577,marine,sorry say use torpedo early fight run low cannonball
that's impossible.,577,marine,impossible
ochenta fleur,578,nico robin,ochenta fleur
gomu gomu no jet gatling gomu gomu no,578,monkey d. luffy,gomu gomu jet gatling gomu gomu
jet whip gomu gomu no,578,monkey d. luffy,jet whip gomu gomu
jet bazooka,578,monkey d. luffy,jet bazooka
busou gomu gomu no pistol,578,monkey d. luffy,busou gomu gomu pistol
gear third,578,monkey d. luffy,gear
gear second  gomu gomu no giant jet,578,monkey d. luffy,gear second gomu gomu giant jet
lance,578,monkey d. luffy,lance
the rescue mission was a complete success!,578,nami,rescue mission complete success
"seriously?!  thanks, old frypan!",578,monkey d. luffy,seriously thanks old frypan
"shuzo-san, the target has been spotted! they're hiding in the reef!",578,marine,shuzosan target spot hide reef
"i-i'm sorry to say, but... we used up all our torpedoes in the earlier fight, and we're running low on cannonballs too.",578,marine,sorry say use torpedo early fight run low cannonball
pops!,578,monkey d. luffy,pop
w-what?!,578,nami,wwhat
it's them again!,578,tony tony chopper,
how could this have happened?!,578,brook,happen
damn bastards!,578,sanji,damn bastard
those aren't torpedoes!,578,franky,torpedo
there are people in them!,578,brook,people
what are they thinking?! they're using themselves as torpedoes!,578,usopp,think use torpedo
they must be out of their collective minds!,578,sanji,collective mind
it's him!  how'd he know where we are?!,578,nami,know
a vivre card?,578,nami,vivre card
he's super-weird!,578,franky,superweird
"no!  if you strain yourself, your wounds will-",578,tony tony chopper,strain wound
s-s-stop!,578,usopp,ssstop
i'm your opponent!,578,monkey d. luffy,opponent
"get him, luffy!",578,usopp,luffy
i won't let you lay a hand on pops!,578,monkey d. luffy,lay hand pop
alright!,578,nami,alright
he got him!,578,tony tony chopper,
what?!,578,usopp,
"haki vs haki, huh?",578,sanji,haki haki huh
he's a formidable foe.  ,578,nico robin,formidable foe
those arms of his are a real problem. ,578,monkey d. luffy,arm real problem
gear third!,578,monkey d. luffy,gear
luffy!,578,usopp,luffy
luffy-san!,578,brook,luffysan
that bastard!,578,sanji,bastard
"a-alright, i got it! here goes!",578,usopp,aalright
alright... go!,578,usopp,alright
h-hey!,578,usopp,hhey
not yet.,578,monkey d. luffy,
the fight... isn't over yet!,578,monkey d. luffy,fight
"i'll... i'll defeat you, and eat pops's heaven food! ",578,monkey d. luffy,defeat eat pop heaven food
a-a-amazing!,578,brook,aaamazing
this is super!,578,franky,super
what's this?  there are horns growing out of my head! what's up with you guys?  you've shrunk!,578,monkey d. luffy,horn grow head shrink
"you're the one who's grown huge, luffy! lily went inside your body and reverted to her giant size!",578,usopp,grow huge luffy lily inside body revert giant size
lily did?!,578,monkey d. luffy,lily
"oh, so that's what happened. i thought it was weird that only i could hear her.",578,monkey d. luffy,happen think weird hear
"giant luffy, you're so cool!",578,tony tony chopper,giant luffy cool
"awesome, i've turned into a giant!",578,monkey d. luffy,awesome turn giant
"oh, you guys! i forgot about you.",578,monkey d. luffy,forget
you bastard!,578,monkey d. luffy,bastard
hang on!  what's going on?!,578,nami,hang
what a strong burst of hot air!,578,tony tony chopper,strong burst hot air
you overdid it.,578,usopp,overdo
i thought i was gonna die.,578,tony tony chopper,think die
luffy!  lily!,578,usopp,luffy lily
"thanks a lot, lily!",578,monkey d. luffy,thanks lot lily
alright!  now i get to eat pops's heaven food!,578,monkey d. luffy,alright eat pop heaven food
t-the food...,578,monkey d. luffy,tthe food
"well, it's your fault.  there's nothing for it. time to set sail.",578,nami,fault time set sail
"what?!  but, the food!",578,monkey d. luffy,food
we'll get ingredients along the way! our destination will be somewhere with a volcano. sound good?  ,578,nami,ingredient way destination volcano sound good
"i guess we can do that. alright, let's go!",578,monkey d. luffy,guess alright
what do we do about pops's raft?  he can't ride it anymore!,578,usopp,pop raft ride anymore
looks like we don't have to worry about it.,578,sanji,look like worry
"oh, my.",578,brook,
super!,578,franky,super
it seems like he's already done.,578,brook,like
don't mention it!  super! ,578,franky,mention super
it wasn't a big deal.,578,monkey d. luffy,big deal
see you later!  thanks for the food!,578,usopp,later thanks food
"don't push yourself too hard, hero chef!",578,tony tony chopper,push hard hero chef
great doctor?  me? even if you call me that...,578,tony tony chopper,great doctor
lily!  let's fight together as a giant again! ,578,monkey d. luffy,lily fight giant
"let's meet again! now, let's go!",578,monkey d. luffy,meet
gomu gomu no giant jet,579,monkey d. luffy,gomu gomu giant jet
lance,579,monkey d. luffy,lance
milky road,579,nami,milky road
i'm gonna be the pirate king!,579,monkey d. luffy,pirate king
"yes, sir!",579,marine,yes sir
"now, let's go!",579,monkey d. luffy,
go!,579,monkey d. luffy,
"hey, hey!",579,usopp,hey hey
wait a second!  what going to happen to us?!,579,brook,wait second happen
this is no problem for the sunny!,579,franky,problem sunny
yahoo!,579,monkey d. luffy,yahoo
what's that?,579,roronoa zoro,
what?!  impossible!,579,nami,impossible
a red sea?,579,nico robin,red sea
look!  a volcanic eruption! let's drop anchor at that island!,579,monkey d. luffy,look volcanic eruption drop anchor island
"wait, luffy! i knew it... none of the log pose's needles point to that island!",579,nami,wait luffy know log pose needle point island
let's go to that island!,579,monkey d. luffy,island
"i told you, wait!",579,nami,tell wait
what're you talking about?! those are volcanoes!  volcanoes! doesn't it look fun?! why wouldn't we go?!,579,monkey d. luffy,talk volcanoes volcano look fun
"listen up, luffy! none of the three compass needles point to that island! it's an anomaly, even in the abnormal new world!",579,nami,listen luffy compass needle point island anomaly abnormal new world
"another eruption! we can see it right there! who cares about the needles? we're dropping anchor, no matter what you say!",579,monkey d. luffy,eruption care needle drop anchor matter say
"no way!  we can't get any closer than this! i mean, it's a sea of fire! i don't get you!",579,nami,way close mean sea
perfect.,579,sanji,perfect
"oh, isn't that the giant shellfish we got from panz fry?",579,usopp,giant shellfish panz fry
"i was just thinking, since this sea's on fire, it'd be a waste not to take the chance to cook this.",579,sanji,thinking sea waste chance cook
sanji!  how can you be so relaxed?!,579,tony tony chopper,sanji relaxed
huh?!,579,usopp,huh
the fire...,579,nico robin,
it's only a matter of time before the ship catches fire!,579,usopp,matter time ship catch
no! the sunny is super-fireproof!,579,franky,sunny superfireproof
"even if it shouldn't burn, there's something wrong with this sea! look, the fish are nothing but bones!  bones!  bones!",579,nami,burn wrong sea look fish bone bone bone
what?  did you call me?,579,brook,
w-what's that?!,579,usopp,wwhat
"hey, what's this? the snail phone is crying. hey, what's wrong?!  does your stomach hurt?",579,monkey d. luffy,hey snail phone hey wrong stomach hurt
"you idiot, that's an emergency signal. someone's calling for help.",579,sanji,idiot emergency signal help
"so, if i pick up the phone, we can communicate with them?",579,monkey d. luffy,pick phone communicate
"wait, luffy!  less than fifty percent of emergency signals are real! the navy uses this kind of trap all the time, so that's probably what this is! if you pick it up and they've got the line bugged, then they'll know we're in the area!",579,nico robin,wait luffy percent emergency signal real navy use kind trap time probably pick line bug know area
"good point, robin! listen, luffy, we ought to think this through carefully bef-",579,usopp,good point robin listen luffy ought think carefully bef
hello?  my name is monkey d. luffy! i'm the man who's gonna be the pirate king!,579,monkey d. luffy,hello monkey luffy man pirate king
"you answered too soon, and you're saying too much!",579,usopp,answer soon say
what's wrong?!,579,monkey d. luffy,wrong
"no, i'm not your boss. it's cold, you say?",579,monkey d. luffy,bos cold say
samurai?,579,roronoa zoro,samurai
"hey, what's your name?!  where are you?!",579,monkey d. luffy,hey
i-is this...,579,brook,iis
i suspect foul play.,579,monkey d. luffy,suspect foul play
of course it's foul play!  he was just murdered!,579,usopp,course foul play murder
the new world is scary!,579,tony tony chopper,new world scary
he could have been acting.  it still might be a trap.,579,nico robin,act trap
"she keeps her composure! c'mon, robin-san!",579,brook,composure cmon robinsan
"he said samurai, brook. yes, it must be one of those samurai... the name of the swordsmen from the wano kingdom.",579,roronoa zoro,say samurai brook yes samurai swordsman wano kingdom
"the wano kingdom is an isolated nation, which never lets outsiders enter. it doesn't even have any ties to the world government. apparently the swordsmen called samurai are so strong, even the navy won't approach them.",579,brook,wano kingdom isolated nation outsider enter tie world government apparently swordsman samurai strong navy approach
a kingdom like that exists?,579,usopp,kingdom like exist
"but he said he was in punk hazard, not the wano kingdom. did he mean that flaming island?",579,franky,say punk hazard wano kingdom mean flame island
"if he was using a baby snail phone, then that island is the only one within range.",579,nico robin,use baby snail phone island range
alright!  let's go save that guy!,579,monkey d. luffy,alright save
no!,579,nami,
"luffy, think about it! chances are, we're already too late!",579,usopp,luffy think chance late
samurai are scary!,579,tony tony chopper,samurai scary
i'm scared too!,579,brook,scar
"smoker-san, wasn't that...",579,tashigi,smokersan
"did he say punk hazard? damn it!  what route did they take?! first there was the incident on fishman island, then the uproar after that... and if i project their route from that point... punk hazard, huh?  makes sense.",579,smoker,say punk hazard damn route incident fishman island uproar project route point punk hazard huh make sense
p-please stop!  i'll do anything! i'll do whatever you ask me to do!,579,pirate,pplease stop ask
we want you to burn!,579,marine,want burn
hot!,579,pirate,hot
"stop it, you brutes!  stop torturing the pirates!",579,tashigi,stop brutes stop torture pirate
tashigi!  we're heading for punk hazard.,579,smoker,tashigi head punk hazard
"but smoker-san, punk hazard... has been uninhabited since it was sealed off after the incident four years ago! it makes no sense for people to be there!",579,tashigi,smokersan punk hazard uninhabited seal incident year ago make sense people
"true, it shouldn't be possible for any creatures to live there. but it's worth a look, regardless. we're setting sail for punk hazard!",579,smoker,true possible creature live worth look regardless set sail punk hazard
huh?  but vice-admiral smoker... that place is forbidden.  don't you know that?,579,marine,huh viceadmiral smoker place forbid know
"don't try to tell to me about the rules, scum!",579,smoker,try tell rule scum
right!,579,marine,
"so, who's going to the island? as long as we have doubts that what we heard on the snail phone is real... we shouldn't all leave the ship.",579,sanji,island long doubt hear snail phone real leave ship
"franky, send out the mini merry!",579,monkey d. luffy,franky send mini merry
sure!,579,franky,sure
wait a second!  are you planning to go alone?,579,nami,wait second plan
you got a problem with that?,579,monkey d. luffy,problem
of course i do!  who knows where you'll run off to if we leave you alone!,579,nami,course know run leave
huh?!,579,monkey d. luffy,huh
okay then!  we'll need someone other than little lost swordsies here to accompany him.,579,sanji,okay need little lost swordsies accompany
"and what's that supposed to mean?! i'm gonna slice you up, perverted cook!",579,roronoa zoro,suppose mean slice pervert cook
accompany him?  i'm in!,579,franky,accompany
it sounds fun.,579,nico robin,sound fun
i-is it okay if we sit this one out?,579,usopp,iis okay sit
"i guess there's no helping it. let's draw straws! nobody has any complaints about that, right?",579,nami,guess help draw straw complaint
